nombre_feature,familia_features,definicion,duplicados,qty_duplicados,categoria_features
is_safe_fingerprint,Características del Dispositivo,"Indica si la huella digital del dispositivo utilizado para realizar la transacción es considerada segura o no, basándose en patrones de comportamiento y características del dispositivo.",,0,Features Altamente Relevantes (Buenos)
mk_device_address_amount_1h,Características del Dispositivo,Este feature representa la cantidad de transacciones realizadas desde una misma dirección de dispositivo en un periodo de una hora.,"device_address_transaction_count_1h, device_address_order_count_1h",2,Features Altamente Relevantes (Buenos)
mk_device_address_amount_6h,Características del Dispositivo,Este feature representa la cantidad de direcciones de dispositivo únicas detectadas en un periodo de 6 horas.,"mk_device_address_amount_24h, mk_device_address_amount_1h",2,Features de Importancia Moderada
mk_device_address_amount_12h,Características de Dispositivo,Este feature representa la cantidad de direcciones de envío diferentes asociadas a un mismo dispositivo en un periodo de 12 horas.,"mk_device_address_amount_24h, mk_device_address_amount_6h",2,Features de Importancia Moderada
mk_device_address_qty_1h,Características del Dispositivo,Este feature representa la cantidad de direcciones de dispositivo únicas detectadas en la última hora.,"device_address_count_last_hour, unique_device_addresses_1h",2,Features Altamente Relevantes (Buenos)
mk_device_address_qty_6h,Características del Dispositivo,Cantidad de direcciones IP diferentes utilizadas por un dispositivo en un período de 6 horas.,"mk_device_address_qty_24h, mk_device_address_qty_1h",2,Features de Importancia Moderada
mk_device_address_qty_12h,Características del Dispositivo,Este feature representa la cantidad de direcciones diferentes asociadas a un dispositivo en un periodo de 12 horas.,"mk_device_address_qty_24h, mk_device_address_qty_1h",2,Features de Importancia Moderada
mk_device_address_approved_amount_1h,Características de la Transacción,Este feature representa la cantidad total aprobada de transacciones realizadas desde una dirección de dispositivo específica en la última hora.,"mk_device_address_approved_amount_24h, mk_device_address_approved_amount_7d",2,Features de Importancia Moderada
mk_device_address_approved_amount_6h,Características de la Transacción,Monto total aprobado de transacciones realizadas desde una misma dirección de dispositivo en las últimas 6 horas.,"mk_device_address_approved_amount_24h, mk_device_address_approved_amount_1h",2,Features de Importancia Moderada
mk_device_address_approved_amount_12h,Características de la Transacción,Este feature representa la cantidad total aprobada de transacciones realizadas desde una dirección de dispositivo específica en las últimas 12 horas.,"mk_device_address_approved_amount_24h, mk_device_address_approved_amount_6h",2,Features de Importancia Moderada
mk_device_address_approved_qty_1h,Características del Dispositivo,Cantidad de veces que una dirección de dispositivo ha sido aprobada en la última hora.,"mk_device_address_approved_qty_24h, mk_device_address_approved_qty_7d",2,Features de Importancia Moderada
mk_device_address_approved_qty_6h,Características del Dispositivo,Cantidad de veces que una dirección de dispositivo ha sido aprobada en las últimas 6 horas.,"mk_device_address_approved_qty_24h, mk_device_address_approved_qty_1h",2,Features de Importancia Moderada
